id.establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad;superficie (m2)
481;Polakof  y Cía.  S.A.;El Dorado - Playa Pascual;Río de la Plata esq. Acuña de Figueroa;;Interior;6;El Dorado;-34,7414009;-56,4519864;Ciudad del Plata;San José;16;16824;600
482;Supermercados Disco del Uruguay S.A.;Disco - LIBERTAD;Wilson Ferreira Aldunate esq. José E. Rodó ;;Interior;7;Disco;-34,6374654;-56,6206929;Libertad;San José;16;16421;748
483;Mercados Devoto S.A.;Devoto Express - 21 de Setiembre;21 de Setiembre 2715;;Punta Carretas;2;Devoto Express;-34,91703959;-56,15789414;Montevideo;Montevideo;1;1020;200
484;Mercados Devoto S.A.;Devoto Express - Rivera;Av. Gral. Rivera 3482 ;;Pocitos;2;Devoto Express;-34,9013653;-56,1390187;Montevideo;Montevideo;1;1020;192
485;Mercados Devoto S.A.;Devoto Express - 18 de Julio;18 de Julio 2010 ;;Cordón;3;Devoto Express;-34,9005732;-56,1723603;Montevideo;Montevideo;1;1020;199
486;Mercados Devoto S.A.;Devoto Express - Benito Blanco;Benito Blanco 921 ;;Pocitos;2;Devoto Express;-34,9136383;-56,1488337;Montevideo;Montevideo;1;1020;145
487;Mercados Devoto S.A.;Devoto Express - Yi;Yi 1471 ;;Centro;3;Devoto Express;-34,9034457;-56,1893865;Montevideo;Montevideo;1;1020;199
488;Mercados Devoto S.A.;Devoto Express - Bulevar y Canelones;Br. Artigas 1205 ;;Cordón;3;Devoto Express;-34,9083846;-56,1633164;Montevideo;Montevideo;1;1020;200
489;Mercados Devoto S.A.;Devoto Express - Cassinoni;M. Cassinoni 1673 ;;Tres Cruces;3;Devoto Express;-34,8962538;-56,1661032;Montevideo;Montevideo;1;1020;192
490;Mercados Devoto S.A.;Devoto Express - Gorlero;Gorlero esq. Calle 25;;Interior;3;Devoto Express;-34,9619529;-54,9434181;Punta del Este;Maldonado;10;10524;148
491;Mercados Devoto S.A.;Devoto Express - Mercedes;Mercedes 949 ;;Centro;3;Devoto Express;-34,9043274;-56,1960812;Montevideo;Montevideo;1;1020;155
492;Mercados Devoto S.A.;Devoto Express - 18 y Vazquez;18 de Julio 1492 ;;Centro;3;Devoto Express;-34,9049206;-56,1836491;Montevideo;Montevideo;1;1020;193
493;Mercados Devoto S.A.;Devoto Express - Bulevar y Nicaragua;Br. Artigas 1986 ;;Tres Cruces;3;Devoto Express;-34,8924996;-56,1651425;Montevideo;Montevideo;1;1020;143
494;Mercados Devoto S.A.;Devoto Express - Atlántida;Calle 20 esq. Calle 1;;Interior;4;Devoto Express;-34,7695189;-55,7555706;Atlántida;Canelones;3;3621;198
499;USSEL S.A.;FROG 2;Libano 1428 ;;Punta Gorda;2;Frog;-34,8939952;-56,0715016;Montevideo;Montevideo;1;1020;200
500;USSEL S.A.;FROG 1;Av. Brasil 2968 ;;Pocitos;3;Frog;-34,9115295;-56,1514363;Montevideo;Montevideo;1;1020;140
501;USSEL S.A.;FROG 3;Av. Rivera 3090;;Pocitos;4;Frog;-34,9031063;-56,1511507;Montevideo;Montevideo;1;1020;200
502;USSEL S.A.;FROG 4;Gariel Pereira 3234;;Pocitos;3;Frog;-34,9102968;-56,1492743;Montevideo;Montevideo;1;1020;
503;USSEL S.A.;FROG 6;Pérez Castellano 1478;;Ciudad Vieja;4;Frog;-34,9071259;-56,2128861;Montevideo;Montevideo;1;1020;200
504;USSEL S.A.;FROG 7;Cavia 3058;;Pocitos;3;Frog;-34,9135478;-56,1534973;Montevideo;Montevideo;1;1020;150
505;USSEL S.A.;FROG 8;Pérez Castellano 1473;;Ciudad Vieja;1;Frog;-34,9071757;-56,2130347;Montevideo;Montevideo;1;1020;35
506;USSEL S.A.;FROG 9;Gonzalo Ramírez 1345;;Barrio Sur;3;Frog;-34,9121608;-56,1884416;Montevideo;Montevideo;1;1020;214
507;USSEL S.A.;FROG 10;Gabriela Mistral 2201;;Interior;4;Frog;-34,8647635;-56,0531751;Ciudad de la Costa;Canelones;3;3831;220
508;USSEL S.A.;FROG 11;Gabrel Pereira 2984;;Pocitos;3;Frog;-34,9064626;-56,1530187;Montevideo;Montevideo;1;1020;130
